Trial_ID,Larva_ID,Pressure_Level,Type_Stimulus,Prior,Duration_Stimulus,Post,Transducer_factor,State,Plasmid,Cell_labelled,Genotype,Frame_rate,Bin_size,Theta_range,Cell_border_start,
171022_M1_L2_E003,171022_M1_L2,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-60,3-40;56-90;102-136;147-176;238-273;285-315;334-368;381-410;422-460;470-499;513-543,
171022_M1_L2_E004,171022_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,25-60,3-40;56-90;102-136;147-176;238-273;285-315;334-368;381-410;422-460;470-499;513-543,
171022_M1_L2_E005,171022_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,25-60,3-40;56-90;102-136;147-176;238-273;285-315;334-368;381-410;422-460;470-499;513-543,
201022_M1_L2_E001,201022_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,22-70,14-61;74-102;209-240;248-290;304-340;350-370;383-410;424-457;475-508;524-552,
201022_M1_L2_E002,201022_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,22-70,14-61;74-102;209-240;248-290;304-340;350-370;383-410;424-457;475-508;524-552,
201022_M1_L2_E003,201022_M1_L2,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,22-70,14-61;74-102;209-240;248-290;304-340;350-370;383-410;424-457;475-508;524-552,
201022_M1_L2_E004,201022_M1_L2,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,22-70,14-61;74-102;209-240;248-290;304-340;350-370;383-410;424-457;475-508;524-552,
201022_M1_L2_E005,201022_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,22-70,14-61;74-102;209-240;248-290;304-340;350-370;383-410;424-457;475-508;524-552,
231022_M1_L1_E001,231022_M1_L1,556,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-61,14-54;62-92;101-136;149-172;191-218;231-265;277-306;321-358;371-402;482-509;522-547,
231022_M1_L1_E002,231022_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-61,14-54;62-92;101-136;149-172;191-218;231-265;277-306;321-358;371-402;482-509;522-547,
231022_M1_L1_E003,231022_M1_L1,988,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-61,14-54;62-92;101-136;149-172;191-218;231-265;277-306;321-358;371-402;482-509;522-547,
231022_M1_L1_E004,231022_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-61,14-54;62-92;101-136;149-172;191-218;231-265;277-306;321-358;371-402;482-509;522-547,
231022_M1_L1_E005,231022_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-61,14-54;62-92;101-136;149-172;191-218;231-265;277-306;321-358;371-402;482-509;522-547,
231022_M1_L2_E001,231022_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,25-61,33-66;82-110;128-149;168-197;213-233;299-324;356-384;408-435;472-510;541-565,
231022_M1_L2_E002,231022_M1_L2,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-61,33-66;82-110;128-149;168-197;213-233;299-324;356-384;408-435;472-510;541-565,
231022_M1_L2_E003,231022_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,25-61,33-66;82-110;128-149;168-197;213-233;299-324;356-384;408-435;472-510;541-565,
231022_M1_L2_E004,231022_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,25-61,33-66;82-110;128-149;168-197;213-233;299-324;356-384;408-435;472-510;541-565,
231022_M1_L2_E005,231022_M1_L2,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-61,33-66;82-110;128-149;168-197;213-233;299-324;356-384;408-435;472-510;541-565,
231022_M1_L4_E001,231022_M1_L4,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-60,2-28;80-111;122-151;292-364;490-518,
231022_M1_L4_E002,231022_M1_L4,556,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-60,2-28;80-111;122-151;292-364;490-518,
231022_M1_L4_E003,231022_M1_L4,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-60,2-28;80-111;122-151;292-364;490-518,
231022_M1_L4_E004,231022_M1_L4,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-60,2-28;80-111;122-151;292-364;490-518,
231022_M1_L4_E005,231022_M1_L4,988,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-60,2-28;80-111;122-151;292-364;490-518,
301022_M1_L1_E001,301022_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-46,68-94;106-138;150-179;198-216;235-264;284-314;329-354;368-388;453-492;519-548,
